time_s,delta_t_s,thrust_N,mass_flow_g_per_s,cumulative_impulse_Ns,remaining_impulse_Ns,propellant_mass_burned_g,propellant_mass_remaining_g,motor_mass_g,motor_mass_kg,burn_fraction
0.000,0.000,0.000,0.000000,0.000000,145.846841,0.000000,82.000000,150.000000,0.150000,0.000000
0.005,0.005,0.156,0.087765,0.000390,145.846451,0.000219,81.999781,149.999781,0.150000,0.000003
0.032,0.027,1.672,0.940055,0.025070,145.821771,0.014095,81.985905,149.985905,0.149986,0.000172
0.043,0.011,5.258,2.956506,0.063187,145.783654,0.035526,81.964474,149.964474,0.149964,0.000433
0.078,0.035,21.936,12.333438,0.539100,145.307741,0.303100,81.696900,149.696900,0.149697,0.003696
0.150,0.072,24.002,13.494451,2.192868,143.653973,1.232904,80.767096,148.767096,0.148767,0.015035
0.330,0.180,28.212,15.861511,6.892047,138.954794,3.874941,78.125059,146.125059,0.146125,0.047255
0.478,0.148,31.001,17.429861,11.273787,134.573054,6.338502,75.661498,143.661498,0.143661,0.077299
0.502,0.024,31.263,17.577166,12.020957,133.825884,6.758586,75.241414,143.241414,0.143241,0.082422
0.644,0.142,15.245,8.571083,15.323011,130.523830,8.615112,73.384888,141.384888,0.141385,0.105062
0.876,0.232,12.273,6.900012,18.515006,127.331835,10.409759,71.590241,139.590241,0.139590,0.126948
1.164,0.288,11.451,6.437969,21.931147,123.915694,12.330428,69.669572,137.669572,0.137670,0.150371
1.755,0.591,10.679,6.004093,28.470473,117.376368,16.007058,65.992942,133.992942,0.133993,0.195208
3.003,1.248,10.159,5.711675,41.473323,104.373518,23.317697,58.682303,126.682303,0.126682,0.284362
4.025,1.022,9.870,5.549077,51.707937,94.138903,29.071942,52.928058,120.928058,0.120928,0.354536
5.141,1.116,9.955,5.596867,62.769953,83.076888,35.291379,46.708621,114.708621,0.114709,0.430383
6.725,1.584,10.910,6.134081,79.294953,66.551887,44.582290,37.417710,105.417710,0.105418,0.543686
8.856,2.131,12.020,6.758161,103.727295,42.119546,58.318974,23.681026,91.681026,0.091681,0.711207
11.232,2.376,12.713,7.147451,133.109861,12.736980,74.838841,7.161159,75.161159,0.075161,0.912669
12.010,0.778,11.340,6.375673,142.466284,3.380557,80.099337,1.900663,69.900663,0.069901,0.976821
12.190,0.180,9.210,5.178172,144.315775,1.531066,81.139183,0.860817,68.860817,0.068861,0.989502
12.261,0.071,6.912,3.885934,144.888091,0.958750,81.460959,0.539041,68.539041,0.068539,0.993426
12.344,0.083,4.543,2.554509,145.363478,0.483363,81.728237,0.271763,68.271763,0.068272,0.996686
12.472,0.128,1.552,0.872643,145.753596,0.093244,81.947575,0.052425,68.052425,0.068052,0.999361
12.568,0.096,0.291,0.163385,145.842046,0.004795,81.997304,0.002696,68.002696,0.068003,0.999967
12.601,0.033,0.000,0.000000,145.846841,0.000000,82.000000,0.000000,68.000000,0.068000,1.000000
